path	bytes	ext	bucket	role	is_symlink	purpose_bucket
domains/content-maturity/examples/demo-anaphylaxis-lite/content-frozen.md	1119	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/demo-anaphylaxis-lite/freeze.md	1080	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/demo-anaphylaxis-lite/proof.md	1109	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/demo-anaphylaxis-lite/review-round1.md	2623	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/demo-anaphylaxis-lite/review-round2.md	1383	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/fixtures/demo-anaphylaxis-lite/content.md	1118	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/skill/content-orchestrator/SKILL.md	4105	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/skill/content-review/SKILL.md	5049	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/content-patch.template.md	937	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/freeze-record.template.md	945	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/imprimatur.template.md	611	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/proof-record.template.md	1043	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/review-report.template.md	2300	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/route-card.template.md	991	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/templates/scope-brief.template.md	286	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/medical/OWNERSHIP.md	891	md	B-medical-other	markdown-doc	False	Domain README/OWNERSHIP
domains/medical/README.md	4898	md	B-medical-other	markdown-doc	False	Domain README/OWNERSHIP
domains/medical/assets/CANONICAL.md	1268	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/README.md	1106	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/ii1-drei-achsen-drisc/MANIFEST.md	426	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/ii1-drei-achsen-drisc/vision-free-01.png	994766	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/MANIFEST.md	2124	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-base.svg	5329	svg	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-full.svg	7720	svg	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-raster-base.jpg	101308	jpg	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-raster-base.png	446103	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-raster-full.jpg	174890	jpg	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-raster-full.png	702109	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii2-bls-aed/primar-algorithmus-raster-nanobanana-refined.png	746085	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iii5-cauda-notfallkarte/MANIFEST.md	458	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/iii5-cauda-notfallkarte/vision-free-01.png	1062928	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iv2-rueckenschmerz-neuro/MANIFEST.md	891	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/iv2-rueckenschmerz-neuro/vision-free-01.png	883715	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iv2-rueckenschmerz-neuro/vision-refined-01.png	286482	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iv4-heisses-gelenk/MANIFEST.md	519	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/iv4-heisses-gelenk/vision-free-01.png	1076221	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/iv4-heisses-gelenk/vision-refined-01.png	1100708	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-ces-saddle/MANIFEST.md	264	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-ces-saddle/vision-free-01.png	709945	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/MANIFEST.md	986	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/generate_refined.typ	12684	typ	B-medical-assets	typst-source	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/vision-free-01.png	514883	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/vision-free-02.png	644512	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/vision-free-gemini-sweetspot-01.png	4916952	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
